timestamp,message,pid,proxy_anomaly_label,hour,dayofweek,auth_failure,failed_password
2025-09-28 07:48:00,failed password for invalid user admin,5931,1,7,6,0,1
2025-09-28 07:48:10,failed password attempt,5736,1,7,6,0,1
2025-09-28 07:48:20,system reboot initiated,3173,0,7,6,0,0
2025-09-28 07:48:30,system reboot initiated,2671,0,7,6,0,0
2025-09-28 07:48:40,user login successful,6160,0,7,6,0,0
2025-09-28 07:48:50,system reboot initiated,3553,0,7,6,0,0
2025-09-28 07:49:00,user login successful,4382,0,7,6,0,0
2025-09-28 07:49:10,authentication success,4022,0,7,6,0,0
2025-09-28 07:49:20,authentication failure for user root,9961,1,7,6,1,0
2025-09-28 07:49:30,failed password for invalid user admin,6158,1,7,6,0,1
2025-09-28 07:49:40,authentication failure for user root,8490,1,7,6,1,0
2025-09-28 07:49:50,failed password for invalid user admin,8003,1,7,6,0,1
2025-09-28 07:50:00,user login successful,4006,0,7,6,0,0
2025-09-28 07:50:10,failed password for invalid user admin,9991,1,7,6,0,1
2025-09-28 07:50:20,authentication failure for user root,8847,1,7,6,1,0
2025-09-28 07:50:30,system reboot initiated,4699,0,7,6,0,0
2025-09-28 07:50:40,authentication failure for user guest,1593,1,7,6,1,0
2025-09-28 07:50:50,failed password attempt,8710,1,7,6,0,1
2025-09-28 07:51:00,authentication failure for user root,1456,1,7,6,1,0
2025-09-28 07:51:10,user logged out,2108,0,7,6,0,0
